count, probability
1,  0.000e+00
10,  0.000e+00
100,  0.000e+00
1000,  0.000e+00
10000,  0.000e+00
100000,  6.000e-05
1000000,  1.300e-05
10000000,  1.960e-05
100000000,  2.159e-05
1,  0.000e+00
10,  0.000e+00
100,  0.000e+00
1000,  0.000e+00
10000,  0.000e+00
100000,  2.000e-05
1000000,  2.600e-05
10000000,  2.300e-05
100000000,  2.174e-05
1,  0.000e+00
10,  0.000e+00
100,  0.000e+00
1000,  0.000e+00
10000,  0.000e+00
100000,  5.000e-05
1000000,  2.300e-05
10000000,  2.440e-05
100000000,  2.114e-05
1,  0.000e+00
10,  0.000e+00
100,  0.000e+00
1000,  0.000e+00
10000,  1.000e-04
100000,  4.000e-05
1000000,  2.400e-05
10000000,  2.030e-05
100000000,  2.133e-05
1,  0.000e+00
10,  0.000e+00
100,  0.000e+00
1000,  0.000e+00
10000,  0.000e+00
100000,  2.000e-05
1000000,  3.100e-05
10000000,  2.000e-05
100000000,  2.183e-05
1,  0.000e+00
10,  0.000e+00
100,  0.000e+00
1000,  0.000e+00
10000,  1.000e-04
100000,  2.000e-05
1000000,  2.400e-05
10000000,  2.230e-05
100000000,  2.068e-05
1,  0.000e+00
10,  0.000e+00
100,  0.000e+00
1000,  0.000e+00
10000,  0.000e+00
100000,  1.000e-05
1000000,  1.700e-05
10000000,  2.110e-05
100000000,  2.127e-05
1,  0.000e+00
10,  0.000e+00
100,  0.000e+00
1000,  0.000e+00
10000,  0.000e+00
100000,  5.000e-05
1000000,  2.100e-05
10000000,  2.110e-05
100000000,  2.163e-05
1,  0.000e+00
10,  0.000e+00
100,  0.000e+00
1000,  0.000e+00
10000,  0.000e+00
100000,  5.000e-05
1000000,  1.500e-05
10000000,  2.160e-05
100000000,  2.131e-05
1,  0.000e+00
10,  0.000e+00
100,  0.000e+00
1000,  0.000e+00
10000,  0.000e+00
100000,  2.000e-05
1000000,  1.300e-05
10000000,  2.470e-05
100000000,  2.149e-05
