Count, Probability
1, 0.0000000000
10, 0.2000000000
100, 0.3000000000
1000, 0.2490000000
10000, 0.2460000000
100000, 0.2458400000
1000000, 0.2485060000
10000000, 0.2469344000
100000000, 0.2471019100
1, 0.0000000000
10, 0.3000000000
100, 0.2000000000
1000, 0.2520000000
10000, 0.2434000000
100000, 0.2483000000
1000000, 0.2472590000
10000000, 0.2471412000
100000000, 0.2470548200
1, 1.0000000000
10, 0.2000000000
100, 0.2700000000
1000, 0.2550000000
10000, 0.2473000000
100000, 0.2485800000
1000000, 0.2481280000
10000000, 0.2470302000
100000000, 0.2470801400
1, 0.0000000000
10, 0.4000000000
100, 0.2600000000
1000, 0.2770000000
10000, 0.2516000000
100000, 0.2458200000
1000000, 0.2476350000
10000000, 0.2468838000
100000000, 0.2470762800
1, 0.0000000000
10, 0.3000000000
100, 0.3000000000
1000, 0.2550000000
10000, 0.2518000000
100000, 0.2465900000
1000000, 0.2479630000
10000000, 0.2472429000
100000000, 0.2470601000
1, 1.0000000000
10, 0.3000000000
100, 0.3300000000
1000, 0.2370000000
10000, 0.2465000000
100000, 0.2474900000
1000000, 0.2469420000
10000000, 0.2468985000
100000000, 0.2471380900
1, 0.0000000000
10, 0.1000000000
100, 0.2100000000
1000, 0.2630000000
10000, 0.2525000000
100000, 0.2448800000
1000000, 0.2477010000
10000000, 0.2471701000
100000000, 0.2470550300
1, 0.0000000000
10, 0.4000000000
100, 0.2100000000
1000, 0.2480000000
10000, 0.2472000000
100000, 0.2470500000
1000000, 0.2468090000
10000000, 0.2471337000
100000000, 0.2470541100
1, 0.0000000000
10, 0.1000000000
100, 0.1900000000
1000, 0.2740000000
10000, 0.2549000000
100000, 0.2462700000
1000000, 0.2475620000
10000000, 0.2470236000
100000000, 0.2470468700
1, 0.0000000000
10, 0.1000000000
100, 0.2500000000
1000, 0.2500000000
10000, 0.2413000000
100000, 0.2459400000
1000000, 0.2475270000
10000000, 0.2469218000
100000000, 0.2470987600
