kaime, lowest to 4, Under 4 Probability, Under 7 Probability, Max Game Count, Max Game Probability
1, 321696, 0.0000030000, 0.0000602000, 348, 0.0000000100
2, 228371, 0.0000028100, 0.0000606900, 331, 0.0000000100
3, 1242330, 0.0000029500, 0.0000622100, 319, 0.0000000100
4, 483517, 0.0000034400, 0.0000598000, 329, 0.0000000100
5, 546335, 0.0000027400, 0.0000599900, 360, 0.0000000100
6, 142039, 0.0000032000, 0.0000610600, 324, 0.0000000100
7, 349915, 0.0000027600, 0.0000612600, 317, 0.0000000100
8, 228382, 0.0000028500, 0.0000603700, 312, 0.0000000100
9, 861889, 0.0000030500, 0.0000604400, 319, 0.0000000100
10, 195989, 0.0000031700, 0.0000604800, 346, 0.0000000100
