kaime, lowest to 4, Under 4 Probability, Under 4 Probability Average, Under 7 Probability, Under 7 Probability Average, Longest Games Count, Longest Games Count Average, Longest Games Occur Probability
1,321696,0.000003,0.000002997,0.0000602,0.00006065,348,330.5,0.00000001
2,228371,0.00000281,0.000002997,0.00006069,0.00006065,331,330.5,0.00000001
3,1242330,0.00000295,0.000002997,0.00006221,0.00006065,319,330.5,0.00000001
4,483517,0.00000344,0.000002997,0.0000598,0.00006065,329,330.5,0.00000001
5,546335,0.00000274,0.000002997,0.00005999,0.00006065,360,330.5,0.00000001
6,142039,0.0000032,0.000002997,0.00006106,0.00006065,324,330.5,0.00000001
7,349915,0.00000276,0.000002997,0.00006126,0.00006065,317,330.5,0.00000001
8,228382,0.00000285,0.000002997,0.00006037,0.00006065,312,330.5,0.00000001
9,861889,0.00000305,0.000002997,0.00006044,0.00006065,319,330.5,0.00000001
10,195989,0.00000317,0.000002997,0.00006048,0.00006065,346,330.5,0.00000001
