10, 360.000, 314.159
100, 324.000, 314.159
1000, 311.600, 314.159
10000, 315.080, 314.159
100000, 313.464, 314.159
1000000, 314.340, 314.159
10000000, 314.347, 314.159
100000000, 314.181, 314.159
10, 320.000, 314.159
100, 316.000, 314.159
1000, 318.400, 314.159
10000, 311.720, 314.159
100000, 314.004, 314.159
1000000, 314.153, 314.159
10000000, 314.126, 314.159
100000000, 314.166, 314.159
10, 360.000, 314.159
100, 324.000, 314.159
1000, 314.400, 314.159
10000, 314.480, 314.159
100000, 314.432, 314.159
1000000, 313.929, 314.159
10000000, 314.150, 314.159
100000000, 314.139, 314.159
10, 280.000, 314.159
100, 284.000, 314.159
1000, 311.200, 314.159
10000, 313.200, 314.159
100000, 314.908, 314.159
1000000, 313.911, 314.159
10000000, 314.150, 314.159
100000000, 314.140, 314.159
10, 360.000, 314.159
100, 300.000, 314.159
1000, 308.800, 314.159
10000, 311.480, 314.159
100000, 315.424, 314.159
1000000, 313.994, 314.159
10000000, 314.180, 314.159
100000000, 314.201, 314.159
10, 280.000, 314.159
100, 296.000, 314.159
1000, 310.000, 314.159
10000, 314.800, 314.159
100000, 314.436, 314.159
1000000, 313.952, 314.159
10000000, 314.160, 314.159
100000000, 314.161, 314.159
10, 280.000, 314.159
100, 308.000, 314.159
1000, 320.400, 314.159
10000, 316.280, 314.159
100000, 314.272, 314.159
1000000, 314.292, 314.159
10000000, 314.192, 314.159
100000000, 314.137, 314.159
10, 360.000, 314.159
100, 316.000, 314.159
1000, 310.800, 314.159
10000, 313.360, 314.159
100000, 314.844, 314.159
1000000, 314.308, 314.159
10000000, 314.217, 314.159
100000000, 314.146, 314.159
10, 280.000, 314.159
100, 316.000, 314.159
1000, 313.600, 314.159
10000, 317.040, 314.159
100000, 313.908, 314.159
1000000, 314.191, 314.159
10000000, 314.162, 314.159
100000000, 314.144, 314.159
10, 240.000, 314.159
100, 328.000, 314.159
1000, 313.200, 314.159
10000, 313.520, 314.159
100000, 314.436, 314.159
1000000, 313.912, 314.159
10000000, 314.125, 314.159
100000000, 314.164, 314.159
